"","PC1","PC2","PC3","PC4","PC5","Monthly_Balance"
"1",-1.08353944928782,-0.781291629672053,-0.593089898589235,0.0764999863136128,-0.268353187203921,0.232246225307994
"3",-1.10872098934796,-0.0417354468667547,-0.956044020586212,-0.133672275735657,0.0874111486002898,0.232246225307994
"4",-1.93967404233312,1.59681754196903,0.323483452069747,1.83854416111935,1.37685678314982,0.297918001512372
"5",-2.24082934251055,0.920364139536361,-1.02541298380303,-0.306270715566115,-0.515737288651978,0.309075674232837
"12",-0.171978156820214,-1.76116194282044,-0.253834454737546,0.449372714810025,-0.219008068044329,0.179336144404946
"13",-2.09153759977218,1.85256204772028,0.217599517879537,-0.672716118673188,-0.103217139852891,0.232246225307994
"14",-1.73798921091138,-0.707032362102407,0.510332950279433,-0.189339135203672,0.0770620483445845,0.211630397663777
"15",0.866352295634505,-0.18956393283352,0.44931329191265,-0.079613949932474,-0.36788735903659,0.191729464899846
"16",-0.760753652121475,-0.627093299026183,0.75331386933808,-0.283127997254444,-0.318297777117,0.261580870279502
"17",-0.865300961540232,-0.44475132593925,-0.0596142301572237,1.84600615278858,-1.47258799400689,0.338437307419804
"19",0.144833659972726,-1.72877619530113,-0.362028014753321,0.574498991583027,-0.298072964235502,0.232246225307994
"21",2.06680474363143,0.177415405786577,-1.33216584156011,-0.224229613965457,-0.0569928853168268,0.137276657491672
"25",0.638857618918163,-1.87276025925176,0.566079242952428,0.0281654134285958,-0.147513057772768,0.201267057643386
"26",2.08138544773116,2.0472842026791,-0.67103915538598,-0.244562641834342,-0.216791694750195,0.260387123749872
"27",-2.00736363153529,0.515890914258756,-0.466402459995303,-0.305119941155914,-0.51265795975882,0.259606059382091
"28",1.57612216374088,0.172401632331144,0.819590816047232,0.0659388205539421,-0.270826295951964,0.232246225307994
"30",-1.29836608387063,-1.04064147828855,-0.0708312251007525,-0.385473638238076,-0.0837991104139269,0.156196379853046
"31",2.18915648078913,0.68411091985963,-2.03190672151346,-0.0956057802068611,-0.241208501195679,0.186544053474495
"34",1.2845289984133,-1.76365234557429,0.40952886115832,-0.261729452065509,0.0214831662338814,0.187684236113669
"35",-0.412112654290769,-0.904496328235368,0.942716222587375,0.448401654345634,-0.31181847891675,0.315020956248495
"38",2.58122651277945,1.8641769334198,0.129272524533803,-0.573008038726264,-0.331306180328309,0.232246225307994
"41",-2.36938218798699,0.280181078204604,0.860677380639452,-0.67797259370218,0.064835577941812,0.453821949718355
"44",-0.279416007994203,-0.959833219594511,1.09124953805637,-0.293551524463355,-0.0644044419184461,0.238043689658748
"47",3.1292382548963,0.358563784066382,0.788918706601085,-0.184724437840921,0.467887800397291,0.043008436138006
"50",1.88430909226293,1.57586505681244,0.104131753187278,-0.101990912600808,-0.120594581840127,0.182993096412027
"52",1.15941500318504,-1.3669475841765,0.787038117440367,0.14862309094737,0.332719186234382,0.232246225307994
"56",0.994656921480177,-2.10060664356716,0.416195947952863,0.5230432026474,-0.233507435581957,0.212119301398692
"57",-2.03044374899583,-0.26290820660179,0.353146431230349,-0.44542461418621,-0.2786019325421,0.296964673133449
"63",-0.793169582976076,0.0458333173075864,1.82520674343342,-0.397613870718303,0.0357717483289975,0.339971840568965
"64",-2.15412054157144,0.921479825263072,0.196409733010683,-0.270755053726074,-0.553468173419651,0.492030399768713
"66",0.367440237791149,-1.5122427840351,0.700200303006147,0.240597623900528,-0.027743425476594,0.232246225307994
"67",1.70566849344153,1.38869762774517,1.90740692862483,-0.345804435238122,0.0981647690260728,0.299286697715501
"68",3.96931895695419,0.69927640530543,-0.105414013605743,0.96113190276224,0.597124298094157,0.268520075479152
"70",-1.66056746100647,-0.572160930686337,0.0674578250941006,0.844817768179494,0.695316295051893,0.120318709149862
"71",0.802677321940004,1.31457403645555,-0.472790802837332,-0.395628813239503,-0.198636265414669,0.234326332061481
"73",0.632504410604526,-0.855494748829836,1.26328202869407,-0.161550401935774,-0.141075105820182,0.232246225307994
"81",3.45900788533083,0.221913367119132,0.318682097458337,-0.506020138292099,0.371993988942656,0.206854606152138
"84",-2.18536455157334,-0.354744089286148,0.171808458093316,0.958036680473616,0.276735486047496,0.262539490762469
"86",0.127593979068759,-1.59735205257319,0.981756121430688,0.33503678530977,-0.115494466676585,0.203752997583201
"87",3.71174598726013,0.591138509701415,-1.0810383555478,-0.319756082233912,-0.15786320445356,0.223492450048901
"89",-2.36144053913656,0.0618426533661263,-0.466596092365029,-0.230220662351983,-0.363736420372034,0.232246225307994
"90",-1.38117789058014,-0.133947539538356,0.538502303625894,-0.607397859703119,-0.112905702429772,0.234912658384106
"94",-0.391622297062359,-1.39833561463862,1.25046668712489,-0.211069364475539,0.0667295897911269,0.151940138962855
"96",3.20750496890848,0.148039249160836,-0.899516106809305,0.10496229192846,-0.3212594236151,0.215025018749505
"99",-0.577214332869895,-1.27479936947565,0.410641658893794,1.41047447129237,-0.602902317543398,0.379960666543946
"101",2.24323946315961,0.867586720894256,-0.862043668028033,-0.373643229467551,-0.401464431581195,0.232246225307994
"102",-2.58940805101315,0.477276571803975,-1.18962630515607,0.0570160980665775,-0.311681837400282,0.426532179578596
"103",-0.730446744396264,0.00438839105956434,1.14514010823617,0.00662256651322295,-0.255240074132869,0.585202600862917
"105",-1.56532424170396,0.218895551287932,0.427479996481654,-0.830032304348404,-0.145699552079828,0.313144954252539
"107",0.735869767617446,1.2281655727296,-0.538554335737979,0.478248708227024,0.376657887121058,0.275851140490196
"111",-0.918330928788681,-0.378681646843704,-0.891210489588691,-0.570713577989811,0.0899127214937271,0.232246225307994
